"Номер объявления","Регион размещения","Город","Адрес","Категория","Подкатегория","Параметр","Название объявления","Цена","Дата первой публикации","Дата снятия с публикации","Дней на Авито","Показы","Конверсия из показов в просмотры","Просмотры","Средняя цена просмотра","Конверсия из просмотров в контакты","Целевые просмотры","Контакты","Написали в чат","Посмотрели телефон","Посмотрели телефон и написали в чат","Откликнулись на скидку в чате","Средняя цена контакта","Добавили в избранное","Расходы на объявления","Списано бонусов на объявления","Расходы на размещение и целевые действия","Расходы на продвижение","Остальные расходы"
"7896291461","Смоленская область","Смоленск","Смоленск","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор Подготовка к ЕГЭ, ОГЭ","от 1 200 ₽","2026-02-02","2026-03-04","30","10","0.00%","0","","","0","0","0","0","0","0","","0","0.00","0.00","0.00","0.00","0.00"
"7896298352","Оренбургская область","Оренбург","Оренбург","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор Подготовка к ЕГЭ, ОГЭ","от 1 200 ₽","2026-02-02","2026-03-04","30","7","0.00%","0","","","0","0","0","0","0","0","","0","0.00","0.00","0.00","0.00","0.00"
"7896299954","Алтайский край","Барнаул","Барнаул","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор Подготовка к ЕГЭ, ОГЭ","от 1 200 ₽","2026-02-02","2026-03-04","30","10","0.00%","0","","","0","0","0","0","0","0","","0","0.00","0.00","0.00","0.00","0.00"
"7896314758","Коми","Сыктывкар","Сыктывкар","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор Подготовка к ЕГЭ, ОГЭ","от 1 200 ₽","2026-02-02","2026-03-04","30","8","0.00%","0","","","0","0","0","0","0","0","","0","0.00","0.00","0.00","0.00","0.00"
"7896337812","Ростовская область","Шахты","Шахты","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор Подготовка к ЕГЭ, ОГЭ","от 1 200 ₽","2026-02-02","2026-03-04","30","5","0.00%","0","","","0","0","0","0","0","0","","0","0.00","0.00","0.00","0.00","0.00"
"7896343728","Тверская область","Тверь","Тверь","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор Подготовка к ЕГЭ, ОГЭ","от 1 200 ₽","2026-02-02","2026-03-04","30","12","0.00%","0","","","0","0","0","0","0","0","","0","0.00","0.00","0.00","0.00","0.00"
"7896355001","Московская область","Балашиха","Балашиха","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор Подготовка к ЕГЭ, ОГЭ","от 1 200 ₽","2026-02-02","2026-03-04","30","2","0.00%","0","","","0","0","0","0","0","0","","0","0.00","0.00","0.00","0.00","0.00"
"7896361368","Кемеровская область","Кемерово","Кемерово","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор Подготовка к ЕГЭ, ОГЭ","от 1 200 ₽","2026-02-02","2026-03-04","30","2","0.00%","0","","","0","0","0","0","0","0","","0","0.00","0.00","0.00","0.00","0.00"
"7896364667","Красноярский край","Красноярск","Красноярск","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор Подготовка к ЕГЭ, ОГЭ","от 1 200 ₽","2026-02-02","2026-03-04","30","8","0.00%","0","","","0","0","0","0","0","0","","0","0.00","0.00","0.00","0.00","0.00"
"7896369362","Ханты-Мансийский АО","Сургут","Сургут","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор Подготовка к ЕГЭ, ОГЭ","от 1 200 ₽","2026-02-02","2026-03-04","30","4","0.00%","0","","","0","0","0","0","0","0","","0","0.00","0.00","0.00","0.00","0.00"
"7896374973","Карелия","Петрозаводск","Петрозаводск","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор Подготовка к ЕГЭ, ОГЭ","от 1 200 ₽","2026-02-02","2026-03-04","30","6","0.00%","0","","","0","0","0","0","0","0","","0","0.00","0.00","0.00","0.00","0.00"
"7896396315","Крым","Севастополь","Севастополь","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор Подготовка к ЕГЭ, ОГЭ","от 1 200 ₽","2026-02-02","2026-03-04","30","4","0.00%","0","","","0","0","0","0","0","0","","0","0.00","0.00","0.00","0.00","0.00"
"7896406920","Новгородская область","Великий Новгород","Великий Новгород","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор Подготовка к ЕГЭ, ОГЭ","от 1 200 ₽","2026-02-02","2026-03-04","30","9","0.00%","0","","","0","0","0","0","0","0","","0","0.00","0.00","0.00","0.00","0.00"
"7896426033","Новосибирская область","Новосибирск","Новосибирск","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор Подготовка к ЕГЭ, ОГЭ","от 1 200 ₽","2026-02-02","2026-03-04","30","3","0.00%","0","","","0","0","0","0","0","0","","0","0.00","0.00","0.00","0.00","0.00"
"7896456722","Томская область","Томск","Томск","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор Подготовка к ЕГЭ, ОГЭ","от 1 200 ₽","2026-02-02","2026-03-04","30","4","0.00%","0","","","0","0","0","0","0","0","","0","0.00","0.00","0.00","0.00","0.00"
"7896469152","Брянская область","Брянск","Брянск","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор Подготовка к ЕГЭ, ОГЭ","от 1 200 ₽","2026-02-02","2026-03-04","30","6","0.00%","0","","","0","0","0","0","0","0","","0","0.00","0.00","0.00","0.00","0.00"
"7896475029","Московская область","Химки","Химки","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор Подготовка к ЕГЭ, ОГЭ","от 1 200 ₽","2026-02-02","2026-03-04","30","3","0.00%","0","","","0","0","0","0","0","0","","0","0.00","0.00","0.00","0.00","0.00"
"7896475147","Саратовская область","Саратов","Саратов","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор Подготовка к ЕГЭ, ОГЭ","от 1 200 ₽","2026-02-02","2026-03-04","30","6","0.00%","0","","","0","0","0","0","0","0","","0","0.00","0.00","0.00","0.00","0.00"
"7896478703","Волгоградская область","Волжский","Волжский","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор Подготовка к ЕГЭ, ОГЭ","от 1 200 ₽","2026-02-02","2026-03-04","30","3","0.00%","0","","","0","0","0","0","0","0","","0","0.00","0.00","0.00","0.00","0.00"
"7896484913","Все регионы","Москва","Москва","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор по русскому языку Подготовка к ЕГЭ/ОГЭ","от 1 200 ₽","2026-01-27","2026-03-28","36","8","0.00%","0","","","0","0","0","0","0","0","","0","0.00","0.00","0.00","0.00","0.00"
"7896486093","Дагестан","Махачкала","Махачкала","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор Подготовка к ЕГЭ, ОГЭ","от 1 200 ₽","2026-02-02","2026-03-04","30","5","0.00%","0","","","0","0","0","0","0","0","","0","0.00","0.00","0.00","0.00","0.00"
"7896495084","Все регионы","Москва","Москва","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор Подготовка к ЕГЭ, ОГЭ","от 1 200 ₽","2026-01-27","2026-03-28","36","5","0.00%","0","","","0","0","0","0","0","0","","0","0.00","0.00","0.00","0.00","0.00"
"7896501016","Хабаровский край","Комсомольск-на-Амуре","Комсомольск-на-Амуре","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор Подготовка к ЕГЭ, ОГЭ","от 1 200 ₽","2026-02-02","2026-03-04","30","2","0.00%","0","","","0","0","0","0","0","0","","0","0.00","0.00","0.00","0.00","0.00"
"7896517288","Московская область","Подольск","Подольск","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор Подготовка к ЕГЭ, ОГЭ","от 1 200 ₽","2026-02-02","2026-03-04","30","5","0.00%","0","","","0","0","0","0","0","0","","0","0.00","0.00","0.00","0.00","0.00"
"7896524699","Амурская область","Благовещенск","Благовещенск","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор Подготовка к ЕГЭ, ОГЭ","от 1 200 ₽","2026-02-02","2026-03-04","30","11","0.00%","0","","","0","0","0","0","0","0","","0","0.00","0.00","0.00","0.00","0.00"
"7896550062","Краснодарский край","Краснодар","Краснодар","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор Подготовка к ЕГЭ, ОГЭ","от 1 200 ₽","2026-01-27","2026-03-28","36","9","0.00%","0","","","0","0","0","0","0","0","","0","0.00","0.00","0.00","0.00","0.00"
"7896582744","Татарстан","Нижнекамск","Нижнекамск","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор Подготовка к ЕГЭ, ОГЭ","от 1 200 ₽","2026-02-02","2026-03-04","30","10","0.00%","0","","","0","0","0","0","0","0","","0","0.00","0.00","0.00","0.00","0.00"
